start_date,end_date
1997-09-21,1997-09-21
1997-09-23,1997-09-23
1997-09-26,1997-10-01
1997-10-03,1997-10-03
1997-10-05,1997-10-05
1997-10-07,1998-03-05
1998-03-07,1998-03-31
1998-04-03,1998-04-03
1998-04-05,1998-04-13
1998-04-17,1998-04-20
1998-04-22,1998-04-23
1998-04-27,1998-04-27
1998-04-30,1998-04-30
1998-05-02,1998-05-02
1998-05-05,1998-05-06
1998-05-08,1998-05-09
1998-05-13,1998-05-16
1998-05-18,1998-05-18
1998-05-20,1998-05-20
1998-05-22,1998-05-24
1998-05-31,1998-05-31
1998-06-02,1998-06-02
1998-06-07,1998-06-07
1998-06-13,1998-06-14
1998-06-17,1998-06-17
1998-06-19,1998-06-20
1998-06-22,1998-06-23
1998-06-25,1998-06-25
1998-06-30,1998-06-30
1998-07-14,1998-07-14
1998-07-18,1998-07-18
1998-07-29,1998-07-29
1998-08-03,1998-08-03
1998-08-07,1998-08-07
1998-08-10,1998-08-10
1998-08-14,1998-08-14
1998-08-16,1998-08-16
1998-08-18,1998-08-18
1998-08-21,1998-08-24
1998-08-26,1998-08-26
1998-08-29,1998-08-29
1998-08-31,1998-08-31
1998-09-07,1998-09-07
1998-09-10,1998-09-12
1998-09-14,1998-09-15
1998-09-17,1998-09-17
1998-09-21,1998-09-21
1998-09-26,1998-09-30
1998-10-05,1998-10-05
1998-10-09,1998-10-11
1998-10-13,1998-10-13
1998-10-15,1998-10-17
1998-10-19,1999-02-26
1999-02-28,1999-03-04
1999-03-06,1999-03-07
1999-03-10,1999-03-12
1999-03-17,1999-03-19
1999-03-21,1999-03-21
1999-03-23,1999-03-29
1999-03-31,1999-04-02
1999-04-07,1999-04-07
1999-04-09,1999-04-09
1999-04-11,1999-04-11
1999-04-16,1999-04-17
1999-04-20,1999-04-21
1999-04-23,1999-04-23
1999-04-27,1999-04-28
1999-05-02,1999-05-02
1999-05-06,1999-05-06
1999-05-10,1999-05-10
1999-05-18,1999-05-19
1999-05-23,1999-05-23
1999-05-29,1999-05-29
1999-06-04,1999-06-04
1999-06-06,1999-06-06
1999-06-18,1999-06-18
1999-06-22,1999-06-22
1999-06-27,1999-06-27
1999-07-15,1999-07-16
1999-08-06,1999-08-06
1999-08-27,1999-08-27
1999-08-29,1999-08-29
1999-09-02,1999-09-03
1999-09-09,1999-09-10
1999-09-13,1999-09-14
1999-09-16,1999-09-16
1999-09-20,1999-09-20
1999-09-22,1999-09-22
1999-09-24,1999-09-25
1999-09-28,1999-10-01
1999-10-03,1999-10-07
1999-10-10,1999-10-10
1999-10-14,2000-03-03
2000-03-05,2000-03-06
2000-03-10,2000-03-10
2000-03-13,2000-03-16
2000-03-21,2000-03-21
2000-03-25,2000-03-25
2000-03-30,2000-03-30
2000-04-01,2000-04-03
2000-04-05,2000-04-05
2000-04-08,2000-04-10
2000-04-13,2000-04-13
2000-04-17,2000-04-17
2000-04-20,2000-04-20
2000-04-22,2000-04-22
2000-04-24,2000-04-24
2000-04-26,2000-04-26
2000-04-28,2000-04-30
2000-05-02,2000-05-03
2000-05-05,2000-05-05
2000-05-08,2000-05-08
2000-05-19,2000-05-19
2000-05-21,2000-05-22
2000-05-25,2000-05-25
2000-06-07,2000-06-07
